Month,Sales
1/1/2016,4356
2/1/2016,4622
3/1/2016,4479
4/1/2016,5193
5/1/2016,5094
6/1/2016,5443
7/1/2016,5574
8/1/2016,5202
9/1/2016,4961
10/1/2016,5212
11/1/2016,5270
12/1/2016,4636
1/1/2017,5106
2/1/2017,5208
3/1/2017,5985
4/1/2017,5398
5/1/2017,6072
6/1/2017,6415
7/1/2017,6982
8/1/2017,6686
9/1/2017,5703
10/1/2017,6270
11/1/2017,5615
12/1/2017,4922
1/1/2018,5758
2/1/2018,5818
3/1/2018,5791
4/1/2018,5460
5/1/2018,5417
6/1/2018,5226
7/1/2018,5162
8/1/2018,5247
9/1/2018,4653
10/1/2018,4849
11/1/2018,4270
12/1/2018,3247
1/1/2019,4219
2/1/2019,3974
3/1/2019,4563
4/1/2019,4313
5/1/2019,4621
6/1/2019,4248
7/1/2019,4954
8/1/2019,4305
9/1/2019,4271
10/1/2019,4664
11/1/2019,4169
12/1/2019,3528
1/1/2020,4215
2/1/2020,3917
3/1/2020,3831
4/1/2020,3975
5/1/2020,4828
6/1/2020,5773
7/1/2020,6193
8/1/2020,5175
9/1/2020,5187
10/1/2020,5472
11/1/2020,4932
12/1/2020,4463
1/1/2021,4808
2/1/2021,6255
3/1/2021,6327
4/1/2021,5558
5/1/2021,6508
6/1/2021,6432
7/1/2021,6398
8/1/2021,5736
9/1/2021,5616
10/1/2021,5269
11/1/2021,5075
12/1/2021,4781
1/1/2022,4853
2/1/2022,4751
3/1/2022,5506
4/1/2022,5283
5/1/2022,5721
6/1/2022,5509
7/1/2022,5409
8/1/2022,5748
9/1/2022,5123
10/1/2022,4747
11/1/2022,4778
12/1/2022,3860
1/1/2023,4687
2/1/2023,4596
3/1/2023,5919
4/1/2023,5499
